,time,text,likes,credibility,credibility_reasoning,relevance,relevance_reasoning,reliability,reliability_reasoning,category,category_reasoning,credibility,credibility_reasoning,relevance,relevance_reasoning,reliability,reliability_reasoning,category,category_reasoning
0,2025-03-27 09:55:17+00:00,"PLUME Coin Price Prediction, What's Next for PLUME coin: Down to 15.8 Cents? https://t.co/Q8xtyZ8Khr PLUME Coin Price Prediction, Analysis, News and Update -27 March 2025 #cryptoanalysis  #pricepredictions   #solana 
  #cryptocop #trading #trading #plume 
Get the latest Plume c…",0,2,The tweet is a mention of multiple Twitter handles followed by an informal expression 'ily sis' and a link. There is no context or information to assess credibility.,1,The tweet does not provide any substantial information or context related to specific topics or events.,2,"The tweet does not contain any verifiable information or claims, making it not particularly reliable.",Social Media Interaction,"The tweet involves a common social media interaction with mentions and an informal message, typical of personal communication or networking.",2,The tweet is a mention of multiple Twitter handles followed by an informal expression 'ily sis' and a link. There is no context or information to assess credibility.,1,The tweet does not provide any substantial information or context related to specific topics or events.,2,"The tweet does not contain any verifiable information or claims, making it not particularly reliable.",Social Media Interaction,"The tweet involves a common social media interaction with mentions and an informal message, typical of personal communication or networking."
1,2025-03-27 09:55:12+00:00,"🔥@GamerBoom_ Airdrop-$11M Backed by Solana &amp; NVIDIA

1️⃣ Sign up: https://t.co/o5f9qayWfS 
2️⃣ Do social tasks + daily check-in  
3️⃣ Invite friends or download the app to get more pts​
@CryptoSaiV2 @CryptOguuz @adilk0870 @benson_btc @mominsaqib",0,2,"The content is a social media post with multiple user tags and a URL, lacking context or verifiable information.",1,The post lacks substantive information or relevance to broader topics as it primarily focuses on tagging users.,2,"Given the informal nature and lack of content, the reliability of this post can not be determined and is therefore low.",Social Media Post,This is a typical social media interaction where users are tagged without further insightful content or context.,2,"The content is a social media post with multiple user tags and a URL, lacking context or verifiable information.",1,The post lacks substantive information or relevance to broader topics as it primarily focuses on tagging users.,2,"Given the informal nature and lack of content, the reliability of this post can not be determined and is therefore low.",Social Media Post,This is a typical social media interaction where users are tagged without further insightful content or context.
2,2025-03-27 09:55:09+00:00,"@ZygoFrog Good Job Team Zygo , base and Solana to the 🌙 🐸🐸🐸",0,2,The post is a personal message with no factual information to verify.,1,The content is personal and lacks relevance to a broader audience or significant topic.,2,"The message includes a social media link, but the information cannot be evaluated for reliability.",personal communication,The message is a personal greeting between individuals.,2,The post is a personal message with no factual information to verify.,1,The content is personal and lacks relevance to a broader audience or significant topic.,2,"The message includes a social media link, but the information cannot be evaluated for reliability.",personal communication,The message is a personal greeting between individuals.
3,2025-03-27 09:55:08+00:00,"Buy the dip? Bro, I’ve been buying dips since BTC was $40K. Just send it already. 😂
 
 https://t.co/OCqmHMKOgC  solana,memecoın,BITCOIN,Crypto $QQQ $GME $VKTX $FFIE $AMC $GWAV $CRKN $SPY $GNS $HOLO $NVDA $CYN $BSFC",0,2,"The tweet consists of tagged usernames and a shortened URL, providing no substantial information to assess credibility.",1,The tweet lacks context or content that indicates its relevance to any particular topic or event.,2,The reliability is uncertain as the tweet provides no verifiable information or sources.,social media,"The format of the tweet is typical for social media interactions, involving user mentions and links.",2,"The tweet consists of tagged usernames and a shortened URL, providing no substantial information to assess credibility.",1,The tweet lacks context or content that indicates its relevance to any particular topic or event.,2,The reliability is uncertain as the tweet provides no verifiable information or sources.,social media,"The format of the tweet is typical for social media interactions, involving user mentions and links."
4,2025-03-27 09:55:07+00:00,"🔥@GamerBoom_ Airdrop-$11M Backed by Solana &amp; NVIDIA

1️⃣ Sign up: https://t.co/MXIrWbifgZ 
2️⃣ Do social tasks + daily check-in  
3️⃣ Invite friends or download the app to get more pts​
@beautyofhelin @isadora288881 @MartiniGuyYT @noroichan_game @TheDustyBC",0,2,"The text appears to be a personal message or casual interaction rather than factual information, and includes usernames and a link which does not provide verifiable information.",1,"The text lacks specific content or context related to a topical subject or issue, making it not relevant for informational purposes.",2,"With no factual content to verify and its nature as a casual message, it does not stand as a reliable source of information.",Social Media Interaction,The format and content suggest it is a social media post or tweet aimed at users tagged in the message.,2,"The text appears to be a personal message or casual interaction rather than factual information, and includes usernames and a link which does not provide verifiable information.",1,"The text lacks specific content or context related to a topical subject or issue, making it not relevant for informational purposes.",2,"With no factual content to verify and its nature as a casual message, it does not stand as a reliable source of information.",Social Media Interaction,The format and content suggest it is a social media post or tweet aimed at users tagged in the message.
5,2025-03-27 09:55:07+00:00,The market is always searching for the best price. Find the hidden gems before the herd does. @JupiterExchange is building something special. 💚 #Solana #JupiterExchange #JUPtoken #Jupnet,0,1,"The text is a tweet mentioning several Twitter handles and a URL, with no informative content to assess credibility.",1,"The tweet provides no useful information or context related to any specific topic, making it irrelevant to most informational needs.",1,"The tweet contains no verifiable information or sources, just social media handles and a generic message.",social,"The structure of the text and use of '@' handles indicate that it is social media content, specifically a tweet, which aligns with the social category.",1,"The text is a tweet mentioning several Twitter handles and a URL, with no informative content to assess credibility.",1,"The tweet provides no useful information or context related to any specific topic, making it irrelevant to most informational needs.",1,"The tweet contains no verifiable information or sources, just social media handles and a generic message.",social,"The structure of the text and use of '@' handles indicate that it is social media content, specifically a tweet, which aligns with the social category."
6,2025-03-27 09:55:04+00:00,@Solana_Slot Gm boss 💎,0,3,"The text contains a list of Twitter handles and a generic message, without providing any specific information or claims that can be verified for credibility.",2,"The text appears to be a personal message to specific users on Twitter, making it only relevant to those individuals, and possibly to their followers, within the Web3 and cryptocurrency space.",3,The tweet is a personal message and does not attempt to provide factual information. Its reliability depends on the context and relationships between the users mentioned.,Social Media Interaction,"The text is a tweet that mentions multiple users and includes a personal message, which is characteristic of social media interactions.",3,"The text contains a list of Twitter handles and a generic message, without providing any specific information or claims that can be verified for credibility.",2,"The text appears to be a personal message to specific users on Twitter, making it only relevant to those individuals, and possibly to their followers, within the Web3 and cryptocurrency space.",3,The tweet is a personal message and does not attempt to provide factual information. Its reliability depends on the context and relationships between the users mentioned.,Social Media Interaction,"The text is a tweet that mentions multiple users and includes a personal message, which is characteristic of social media interactions."
7,2025-03-27 09:55:02+00:00,"🔥@GamerBoom_ Airdrop-$11M Backed by Solana &amp; NVIDIA

1️⃣ Sign up: https://t.co/eNejz56srf 
2️⃣ Do social tasks + daily check-in  
3️⃣ Invite friends or download the app to get more pts​
@dyor_100x @zenryoku_eth @gg776650 @golden_kripto @blokinfluencer",0,2,"The tweet appears to be informal and does not provide any credible sources or evidence to support any claims, if made. It includes a link, but there is no context provided to assess its content.",1,"The tweet is primarily a mention of various Twitter users without any specific topic or substantial information, making it not particularly relevant to most discussions.",2,"The nature of the tweet is personal and informal, with no indication of verifiable information, reducing its reliability.",Social Media,"The content falls under Social Media due to its format and the use of Twitter handles to tag individuals, typical of social media interactions.",2,"The tweet appears to be informal and does not provide any credible sources or evidence to support any claims, if made. It includes a link, but there is no context provided to assess its content.",1,"The tweet is primarily a mention of various Twitter users without any specific topic or substantial information, making it not particularly relevant to most discussions.",2,"The nature of the tweet is personal and informal, with no indication of verifiable information, reducing its reliability.",Social Media,"The content falls under Social Media due to its format and the use of Twitter handles to tag individuals, typical of social media interactions."
8,2025-03-27 09:55:00+00:00,"Every wallet gets 250k $KING 🪂

Drop your Solana $Sol Address &amp; RT ♻️

Like &amp; Rt pinned post 📌 https://t.co/hhyzCo9iE3",0,2,"The text is a tweet with mentions of various Twitter handles and a URL. It lacks substantiated information or claims, making it low on credibility.",2,"The text appears to be a social tweet likely aimed at a specific audience interested in individuals mentioned or linked content, having low relevance to broader contexts.",2,"Since there is no context or factual information, the tweet doesn't provide any reliable content.",social_media_post,"The text is characteristic of a social media interaction on Twitter, involving mentions and a URL, typical of casual online communication.",2,"The text is a tweet with mentions of various Twitter handles and a URL. It lacks substantiated information or claims, making it low on credibility.",2,"The text appears to be a social tweet likely aimed at a specific audience interested in individuals mentioned or linked content, having low relevance to broader contexts.",2,"Since there is no context or factual information, the tweet doesn't provide any reliable content.",social_media_post,"The text is characteristic of a social media interaction on Twitter, involving mentions and a URL, typical of casual online communication."
9,2025-03-27 09:55:00+00:00,"@solana_zzz Whoa, that’s some wild code! If you’re into unique vibes, check out Catapult Corgi—we just dropped on Solana! Transparent community, no gimmicks. Join us
@catapultcorgi
with $CCC #memecoin!",0,2,"This appears to be a tweet with multiple mentions and a link, but lacks sufficient context to assess credibility.",2,The content of the tweet does not provide a clear topical focus or relevance to any specific subject area.,2,"The post includes several Twitter handles and a shortened URL, but without context or description, its reliability is difficult to determine.",social media,"The text is from a Twitter post, which is a form of social media.",2,"This appears to be a tweet with multiple mentions and a link, but lacks sufficient context to assess credibility.",2,The content of the tweet does not provide a clear topical focus or relevance to any specific subject area.,2,"The post includes several Twitter handles and a shortened URL, but without context or description, its reliability is difficult to determine.",social media,"The text is from a Twitter post, which is a form of social media."
